Dataset name,FCN,FCN+agg features,ResNet,ResNet+agg features
AUSLAN,0.9754,0.9782,0.9740,0.9702
ArabicDigits,0.9942,0.9951,0.9955,0.9939
CMUsubject16,1.0000,1.0000,0.9966,1.0000
CharacterTrajectories,0.9898,0.9903,0.9904,0.9912
ECG,0.8720,0.8920,0.8670,0.8640
JapaneseVowels,0.9930,0.9957,0.9916,0.9962
KickvsPunch,0.5400,0.7600,0.5100,1.0000
Libras,0.9639,0.9767,0.9544,0.9622
NetFlow,0.8906,0.9157,0.6272,0.9217
UWave,0.9343,0.9352,0.9259,0.9170
Wafer,0.9824,0.9882,0.9885,0.9904
WalkvsRun,1.0000,1.0000,1.0000,1.0000
